,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10
946,7.0,1275.5,3.0,136000.0,2.0,11.0,5.0,113.0,4.0,151304.0
392,7.0,1304.0,3.0,63000.0,2.0,11.0,5.0,110.0,4.0,60095.0
510,7.0,1296.5,1.0,76000.0,2.0,11.0,10.0,113.0,4.0,72001.0
875,5.0,1250.0,3.0,78000.0,2.0,15.0,5.0,82.0,5.0,350092.0
420,7.0,1257.5,3.0,95000.0,1.0,11.0,4.0,111.0,4.0,450015.0
448,4.0,1313.0,3.0,328000.0,2.0,8.0,5.0,90.0,5.0,151300.0
1103,7.0,1268.0,3.0,107000.0,2.0,11.0,4.0,105.0,5.0,60091.0
1047,4.0,1284.1808176100628,2.0,65000.0,2.0,8.0,5.0,112.0,4.0,60015.0
424,4.0,1244.0,3.0,97000.0,2.0,8.0,5.0,99.0,5.0,60091.0
486,4.0,1163.0,3.0,42000.0,2.0,8.0,10.0,113.0,4.0,151300.0
981,7.0,1335.5,3.0,546000.0,2.0,11.0,3.0,80.0,5.0,330008.0
984,7.0,1250.0,1.0,121000.0,2.0,11.0,-1.0,112.0,4.0,350091.0
258,7.0,1326.5,1.0,91000.0,1.0,11.0,9.0,106.0,4.0,450080.0
335,4.0,1284.1808176100628,2.0,90000.0,2.0,8.0,5.0,111.0,4.0,72001.0
1076,7.0,1248.5,3.0,146000.0,2.0,11.0,10.0,105.0,5.0,350704.0
421,7.0,1302.5,1.0,105000.0,2.0,11.0,5.0,95.0,3.0,60000.0
585,4.0,1284.1808176100628,2.0,49000.0,1.0,8.0,2.0,114.0,4.0,71000.0
248,4.0,1298.0,1.0,165000.0,2.0,8.0,9.0,90.0,3.0,72000.0
133,5.0,1268.0,3.0,91000.0,2.0,15.0,5.0,112.0,4.0,71008.0
324,7.0,1233.5,3.0,59000.0,2.0,11.0,5.0,91.0,3.0,450052.0
1004,5.0,1292.0,3.0,172000.0,2.0,15.0,8.0,113.0,5.0,350092.0
410,7.0,1289.0,3.0,130000.0,2.0,11.0,9.0,84.0,3.0,60019.0
707,4.0,1241.0,3.0,35000.0,2.0,8.0,5.0,99.0,5.0,60084.0
562,7.0,1274.0,1.0,240000.0,2.0,11.0,-1.0,104.0,5.0,350100.0
96,4.0,1257.5,1.0,91000.0,2.0,8.0,5.0,90.0,3.0,72000.0
390,4.0,1265.0,1.0,120000.0,2.0,8.0,5.0,105.0,3.0,71000.0
611,4.0,1269.5,1.0,210000.0,2.0,8.0,-1.0,84.0,3.0,330012.0
66,5.0,1206.5,3.0,49000.0,2.0,15.0,2.0,102.0,4.0,551201.0
51,7.0,1187.0,3.0,90000.0,2.0,11.0,5.0,100.0,5.0,60093.0
58,7.0,1235.0,3.0,101000.0,2.0,11.0,5.0,112.0,3.0,60013.0
555,5.0,1230.5,3.0,72000.0,2.0,15.0,9.0,113.0,4.0,151304.0
54,5.0,1205.0,3.0,61000.0,2.0,15.0,5.0,76.0,5.0,60069.0
299,7.0,1170.5,3.0,71000.0,2.0,11.0,5.0,111.0,4.0,151307.0
871,5.0,1269.5,1.0,114000.0,2.0,15.0,5.0,83.0,3.0,450058.0
581,4.0,1305.5,3.0,65000.0,2.0,8.0,9.0,80.0,5.0,60041.0
1,7.0,1298.0,1.0,110000.0,2.0,11.0,-1.0,101.0,5.0,72001.0
721,5.0,1308.5,3.0,131000.0,1.0,15.0,5.0,110.0,5.0,72000.0
909,7.0,1370.0,1.0,142000.0,2.0,11.0,9.0,113.0,4.0,72014.0
623,7.0,1284.1808176100628,2.0,56000.0,2.0,11.0,5.0,113.0,3.0,366001.0
627,7.0,1284.1808176100628,2.0,255000.0,2.0,11.0,5.0,99.0,3.0,60058.0
220,4.0,1284.1808176100628,2.0,97000.0,2.0,8.0,5.0,110.0,4.0,72001.0
1010,4.0,1284.1808176100628,2.0,113000.0,2.0,8.0,9.0,93.0,5.0,72001.0
968,4.0,1332.5,1.0,106000.0,2.0,8.0,5.0,100.0,3.0,60033.0
108,5.0,1272.5,3.0,143000.0,2.0,15.0,5.0,114.0,4.0,72001.0
40,5.0,1298.0,1.0,127000.0,2.0,15.0,-1.0,113.0,4.0,151300.0
194,5.0,1307.0,3.0,91000.0,2.0,15.0,5.0,110.0,5.0,60023.0
14,7.0,1257.5,3.0,126000.0,2.0,11.0,5.0,105.0,3.0,151300.0
1019,7.0,1202.0,3.0,63000.0,2.0,11.0,-1.0,112.0,4.0,60057.0
239,5.0,1229.0,3.0,50000.0,2.0,15.0,9.0,110.0,5.0,450071.0
674,5.0,1320.5,3.0,150000.0,2.0,15.0,9.0,108.0,5.0,361028.0
921,4.0,1299.5,1.0,139000.0,2.0,8.0,-1.0,95.0,5.0,72000.0
511,7.0,1290.5,3.0,116000.0,2.0,11.0,5.0,85.0,5.0,151300.0
326,4.0,1242.5,3.0,56000.0,2.0,8.0,-1.0,85.0,5.0,330007.0
237,4.0,1305.5,1.0,117000.0,2.0,8.0,5.0,112.0,5.0,60029.0
571,4.0,1256.0,3.0,101000.0,2.0,8.0,9.0,110.0,5.0,60084.0
141,7.0,1262.0,3.0,172000.0,2.0,11.0,9.0,112.0,4.0,72000.0
38,7.0,1347.5,1.0,392000.0,2.0,11.0,4.0,114.0,4.0,60018.0
858,7.0,1226.0,3.0,64000.0,2.0,11.0,5.0,103.0,3.0,72000.0
439,5.0,1262.0,3.0,93000.0,2.0,15.0,9.0,86.0,5.0,151300.0
726,5.0,1284.1808176100628,2.0,114000.0,2.0,15.0,5.0,110.0,4.0,72049.0
440,5.0,1248.5,1.0,286000.0,2.0,15.0,-1.0,112.0,4.0,450094.0
361,7.0,1376.0,3.0,142000.0,1.0,11.0,5.0,99.0,3.0,151300.0
818,4.0,1314.5,1.0,89000.0,2.0,8.0,-1.0,100.0,5.0,60017.0
191,4.0,1290.5,1.0,103000.0,2.0,8.0,9.0,112.0,4.0,60084.0
496,4.0,1275.5,3.0,90000.0,1.0,8.0,5.0,103.0,5.0,72049.0
292,7.0,1287.5,1.0,88000.0,2.0,11.0,-1.0,113.0,4.0,71003.0
396,4.0,1275.5,3.0,284000.0,2.0,8.0,5.0,107.0,5.0,60000.0
150,4.0,1341.5,1.0,91000.0,1.0,8.0,5.0,100.0,4.0,151300.0
278,4.0,1190.0,3.0,128000.0,2.0,8.0,5.0,105.0,5.0,72000.0
940,7.0,1148.0,3.0,106000.0,2.0,11.0,5.0,94.0,5.0,450071.0
857,4.0,1284.1808176100628,2.0,92000.0,2.0,8.0,-1.0,107.0,4.0,350052.0
839,4.0,1302.5,3.0,410000.0,2.0,8.0,9.0,84.0,5.0,60018.0
293,5.0,1361.0,3.0,30000.0,1.0,15.0,5.0,110.0,5.0,60033.0
339,7.0,1304.0,3.0,135000.0,2.0,11.0,5.0,90.0,3.0,550109.0
316,5.0,1241.0,3.0,30000.0,2.0,15.0,5.0,80.0,5.0,60006.0
159,4.0,1338.5,3.0,165000.0,2.0,8.0,5.0,111.0,5.0,151300.0
232,7.0,1397.0,1.0,131000.0,2.0,11.0,5.0,95.0,5.0,60001.0
416,4.0,1244.0,3.0,107000.0,2.0,8.0,5.0,112.0,5.0,60017.0
330,7.0,1277.0,1.0,119000.0,1.0,11.0,5.0,105.0,3.0,72000.0
512,7.0,1328.0,1.0,127000.0,2.0,11.0,-1.0,112.0,4.0,60043.0
245,7.0,1247.0,2.3354545454545454,121039.19781221513,1.9269406392694064,10.865753424657534,4.821917808219178,100.79963235294117,5.0,60041.0
641,4.0,1356.5,1.0,136000.0,2.0,8.0,5.0,74.0,3.0,72000.0
792,7.0,1227.5,3.0,68000.0,2.0,11.0,5.0,114.0,3.0,345009.0
790,7.0,1268.0,3.0,90000.0,2.0,11.0,5.0,86.0,5.0,71002.0
348,7.0,1235.0,3.0,68000.0,2.0,11.0,5.0,110.0,5.0,450017.0
755,5.0,1290.5,3.0,86000.0,2.0,15.0,5.0,93.0,5.0,60033.0
55,1.0,1130.0,2.0,1000000.0,2.0,4.0,-1.0,100.0,5.0,650018.0
702,7.0,1274.0,1.0,328000.0,2.0,11.0,-1.0,82.0,5.0,450000.0
1033,7.0,1328.0,1.0,105000.0,2.0,11.0,-1.0,109.0,4.0,60095.0
1001,7.0,1379.0,3.0,144000.0,2.0,11.0,5.0,113.0,4.0,151008.0
771,7.0,1281.5,3.0,84000.0,2.0,11.0,5.0,113.0,4.0,60091.0
1119,5.0,1289.0,1.0,173000.0,2.0,15.0,5.0,112.0,3.0,350702.0
703,4.0,1310.0,3.0,129000.0,1.0,8.0,5.0,100.0,5.0,151300.0
897,4.0,1241.0,3.0,105000.0,2.0,8.0,5.0,114.0,4.0,72000.0
224,4.0,1284.1808176100628,2.0,446000.0,2.0,8.0,-1.0,90.0,5.0,60014.0
1062,7.0,1283.0,3.0,67000.0,2.0,11.0,5.0,114.0,4.0,60026.0
1072,4.0,1272.5,3.0,180000.0,2.0,8.0,5.0,110.0,4.0,60091.0
127,4.0,1227.5,3.0,62000.0,2.0,8.0,5.0,110.0,5.0,60069.0
685,5.0,1338.5,3.0,325000.0,2.0,15.0,5.0,110.0,5.0,60033.0
294,7.0,1223.0,3.0,68000.0,1.0,11.0,5.0,84.0,5.0,60014.0
775,4.0,1284.1808176100628,2.0,94000.0,2.0,8.0,-1.0,109.0,5.0,340006.0
920,5.0,1284.1808176100628,2.0,35000.0,2.0,16.0,-1.0,113.0,4.0,527000.0
633,7.0,1286.0,1.0,110000.0,2.0,11.0,5.0,112.0,5.0,60033.0
1014,7.0,1271.0,3.0,137000.0,2.0,11.0,5.0,68.0,5.0,60008.0
840,4.0,1200.5,3.0,69000.0,2.0,8.0,5.0,104.0,5.0,60064.0
767,7.0,1281.5,1.0,173000.0,2.0,11.0,-1.0,106.0,5.0,72000.0
572,4.0,1239.5,3.0,65000.0,2.0,8.0,5.0,92.0,5.0,151300.0
597,4.0,1406.0,1.0,208000.0,2.0,8.0,-1.0,112.0,5.0,340001.0
356,7.0,1350.5,1.0,137000.0,2.0,11.0,5.0,100.0,3.0,60048.0
795,4.0,1284.1808176100628,2.0,81000.0,2.0,8.0,5.0,110.0,3.0,72014.0
583,7.0,1284.1808176100628,2.0,93000.0,2.0,11.0,5.0,108.0,5.0,60000.0
1024,5.0,1244.0,3.0,30000.0,2.0,15.0,5.0,100.0,5.0,60014.0
265,7.0,1328.0,3.0,71000.0,2.0,11.0,5.0,109.0,5.0,60004.0
315,4.0,1305.5,1.0,123000.0,2.0,8.0,5.0,106.0,3.0,330008.0
402,4.0,1328.0,1.0,150000.0,2.0,8.0,5.0,107.0,3.0,332414.0
162,5.0,1269.5,1.0,175000.0,2.0,15.0,5.0,110.0,5.0,350057.0
967,7.0,1244.0,3.0,130000.0,2.0,11.0,5.0,98.0,5.0,450054.0
105,4.0,1320.5,1.0,138000.0,2.0,8.0,9.0,108.0,3.0,60000.0
1080,7.0,1374.5,1.0,400000.0,2.0,12.0,-1.0,104.0,5.0,60000.0
386,7.0,1377.5,3.0,78000.0,1.0,11.0,5.0,100.0,3.0,60017.0
708,5.0,1322.0,3.0,195000.0,2.0,15.0,9.0,95.0,5.0,60000.0
218,7.0,1245.5,3.0,58000.0,2.0,11.0,5.0,101.0,5.0,60058.0
369,5.0,1299.5,3.0,30000.0,2.0,15.0,5.0,95.0,5.0,71000.0
873,4.0,1337.0,3.0,410000.0,2.0,8.0,5.0,83.0,5.0,60091.0
493,5.0,1356.5,3.0,198000.0,2.0,15.0,5.0,90.0,5.0,71000.0
45,7.0,1314.5,1.0,127000.0,2.0,11.0,-1.0,109.0,3.0,340012.0
801,5.0,1481.0,3.0,101000.0,2.0,15.0,5.0,100.0,5.0,60091.0
816,7.0,1284.1808176100628,2.0,73000.0,2.0,11.0,9.0,114.0,4.0,361000.0
436,1.0,1343.0,1.0,550000.0,2.0,5.0,-1.0,77.0,5.0,350024.0
1009,5.0,1341.5,3.0,66000.0,2.0,15.0,4.0,73.0,5.0,450083.0
848,5.0,1284.1808176100628,2.0,35000.0,2.0,15.0,5.0,114.0,4.0,60069.0
930,7.0,1214.0,3.0,58000.0,2.0,11.0,5.0,112.0,3.0,450080.0
377,4.0,1298.0,1.0,35000.0,2.0,8.0,5.0,103.0,5.0,60028.0
342,4.0,1284.1808176100628,2.0,94000.0,2.0,8.0,-1.0,113.0,4.0,72000.0
661,5.0,1262.0,3.0,130000.0,2.0,15.0,5.0,100.0,5.0,151304.0
207,5.0,1296.5,1.0,130000.0,2.0,15.0,-1.0,86.0,4.0,60018.0
28,7.0,1239.5,3.0,79000.0,2.0,11.0,8.0,111.0,5.0,71003.0
700,7.0,1250.0,3.0,94000.0,2.0,11.0,5.0,113.0,4.0,71000.0
804,5.0,1239.5,3.0,58000.0,2.0,15.0,5.0,107.0,5.0,60017.0
64,7.0,1284.1808176100628,2.0,126000.0,2.0,11.0,9.0,115.0,4.0,450028.0
853,7.0,1206.5,3.0,76000.0,2.0,11.0,5.0,108.0,4.0,72000.0
925,7.0,1241.0,3.0,63000.0,2.0,11.0,5.0,112.0,4.0,60057.0
982,5.0,1284.1808176100628,2.0,62000.0,1.0,15.0,5.0,111.0,4.0,151300.0
943,4.0,1316.0,3.0,107000.0,2.0,8.0,5.0,112.0,4.0,60006.0
644,7.0,1214.0,3.0,60000.0,2.0,11.0,9.0,108.0,4.0,151300.0
39,4.0,1191.5,3.0,50000.0,2.0,8.0,5.0,106.0,5.0,60090.0
0,4.0,1277.0,1.0,113000.0,2.0,8.0,-1.0,100.0,3.0,341759.0
298,7.0,1326.5,3.0,208000.0,2.0,11.0,5.0,105.0,4.0,510070.0
1012,7.0,1284.1808176100628,3.0,50000.0,2.0,12.0,-1.0,114.0,4.0,335534.0
211,7.0,1284.1808176100628,2.0,106000.0,2.0,11.0,-1.0,90.0,5.0,60033.0
834,5.0,1214.0,3.0,58000.0,2.0,15.0,5.0,112.0,4.0,72000.0
656,5.0,1248.5,3.0,106000.0,2.0,15.0,5.0,85.0,3.0,151300.0
772,4.0,1214.0,3.0,99000.0,2.0,8.0,5.0,84.0,3.0,60017.0
824,7.0,1299.5,3.0,64000.0,2.0,11.0,5.0,110.0,4.0,510090.0
428,7.0,1304.0,3.0,129000.0,2.0,11.0,5.0,103.0,3.0,151300.0
466,7.0,1341.5,3.0,112000.0,2.0,11.0,8.0,83.0,5.0,60090.0
323,4.0,1256.0,3.0,141000.0,2.0,8.0,5.0,84.0,3.0,60031.0
122,7.0,1230.5,1.0,129000.0,2.0,11.0,5.0,88.0,3.0,60043.0
530,4.0,1296.5,3.0,94000.0,2.0,8.0,9.0,114.0,4.0,60058.0
543,4.0,1256.0,3.0,180000.0,2.0,8.0,5.0,105.0,5.0,60018.0
97,4.0,1269.5,3.0,107000.0,1.0,8.0,9.0,81.0,3.0,60040.0
561,2.0,1407.5,1.0,153000.0,2.0,3.0,9.0,112.0,5.0,151309.0
964,7.0,1286.0,1.0,86000.0,2.0,11.0,-1.0,95.0,5.0,72000.0
891,5.0,1289.0,1.0,35000.0,2.0,15.0,5.0,76.0,5.0,60063.0
100,4.0,1284.1808176100628,2.0,139000.0,2.0,8.0,5.0,111.0,3.0,60036.0
302,4.0,1256.0,3.0,120000.0,2.0,8.0,5.0,105.0,5.0,72015.0
610,4.0,1284.1808176100628,2.0,105000.0,2.0,8.0,5.0,109.0,3.0,60014.0
949,4.0,1284.1808176100628,2.0,67000.0,2.0,8.0,-1.0,100.0,5.0,60074.0
1099,4.0,1284.1808176100628,2.0,100000.0,2.0,8.0,9.0,99.0,5.0,71003.0
609,5.0,1304.0,3.0,150000.0,2.0,15.0,5.0,105.0,5.0,550107.0
706,7.0,1299.5,1.0,87000.0,2.0,11.0,5.0,85.0,5.0,151300.0
1094,4.0,1338.5,3.0,133000.0,1.0,8.0,5.0,80.0,3.0,151009.0
950,7.0,1284.1808176100628,2.0,89000.0,2.0,11.0,9.0,80.0,5.0,72001.0
1023,7.0,1305.5,1.0,136000.0,2.0,11.0,-1.0,105.0,4.0,60061.0
80,4.0,1281.5,3.0,304000.0,2.0,8.0,5.0,84.0,3.0,60024.0
893,4.0,1269.5,3.0,113000.0,2.0,8.0,5.0,110.0,5.0,60091.0
664,4.0,1262.0,3.0,185000.0,2.0,8.0,5.0,105.0,5.0,151300.0
106,5.0,1377.5,3.0,96000.0,2.0,15.0,5.0,87.0,5.0,60044.0
306,4.0,1214.0,3.0,82000.0,1.0,8.0,5.0,100.0,5.0,60019.0
941,4.0,1334.0,3.0,35000.0,2.0,8.0,5.0,77.0,3.0,151000.0
113,7.0,1376.0,1.0,150000.0,2.0,11.0,-1.0,110.0,4.0,60000.0
82,7.0,1284.1808176100628,2.0,58000.0,2.0,11.0,5.0,113.0,4.0,510010.0
798,7.0,1308.5,3.0,194000.0,2.0,11.0,5.0,105.0,4.0,60051.0
756,4.0,1284.1808176100628,2.0,83000.0,2.0,8.0,5.0,110.0,3.0,71000.0
451,7.0,1239.5,1.0,238000.0,2.0,11.0,5.0,110.0,4.0,60014.0
95,7.0,1284.1808176100628,3.0,35000.0,2.0,12.0,-1.0,86.0,3.0,650070.0
975,7.0,1352.0,3.0,71000.0,2.0,11.0,5.0,104.0,5.0,60093.0
662,4.0,1257.5,3.0,105000.0,2.0,8.0,5.0,73.0,3.0,151009.0
789,4.0,1284.1808176100628,2.0,54000.0,2.0,8.0,5.0,89.0,5.0,72016.0
737,7.0,1310.0,1.0,169000.0,2.0,11.0,5.0,109.0,4.0,60058.0
1115,4.0,1343.0,3.0,110000.0,2.0,8.0,2.0,105.0,5.0,60043.0
974,4.0,1284.1808176100628,2.0,69000.0,2.0,8.0,-1.0,112.0,4.0,60048.0
367,7.0,1323.5,1.0,152000.0,2.0,11.0,5.0,98.0,5.0,151008.0
189,5.0,1284.1808176100628,3.0,94000.0,2.0,15.0,5.0,113.0,4.0,60057.0
865,7.0,1320.5,1.0,102000.0,2.0,11.0,5.0,110.0,3.0,151300.0
215,5.0,1214.0,3.0,56000.0,2.0,15.0,5.0,101.0,5.0,60064.0
855,7.0,1322.0,1.0,141000.0,2.0,11.0,5.0,84.0,3.0,60004.0
387,5.0,1242.5,3.0,75000.0,2.0,15.0,5.0,109.0,4.0,510020.0
592,5.0,1367.0,3.0,127000.0,2.0,15.0,5.0,101.0,5.0,60054.0
735,7.0,1266.5,1.0,109000.0,2.0,11.0,3.0,107.0,3.0,330021.0
645,7.0,1266.5,3.0,227000.0,2.0,11.0,9.0,112.0,4.0,151300.0
1116,4.0,1284.1808176100628,2.0,58000.0,2.0,8.0,5.0,100.0,5.0,151300.0
529,7.0,1226.0,3.0,61000.0,2.0,11.0,9.0,105.0,3.0,151300.0
1105,7.0,1262.0,3.0,100000.0,2.0,11.0,5.0,113.0,4.0,450071.0
807,5.0,1269.5,3.0,124000.0,2.0,15.0,5.0,112.0,4.0,60033.0
522,4.0,1356.5,1.0,220000.0,2.0,8.0,5.0,107.0,4.0,151011.0
464,4.0,1256.0,1.0,68000.0,2.0,8.0,5.0,105.0,3.0,350058.0
973,7.0,1292.0,1.0,132000.0,2.0,11.0,5.0,64.0,3.0,60018.0
850,7.0,1284.1808176100628,2.0,180000.0,2.0,11.0,5.0,114.0,3.0,72001.0
911,7.0,1280.0,3.0,156000.0,1.0,11.0,5.0,96.0,5.0,72000.0
636,4.0,1256.0,1.0,120000.0,2.0,8.0,5.0,99.0,4.0,151000.0
927,7.0,1328.0,1.0,189000.0,2.0,11.0,9.0,85.0,5.0,60019.0
349,4.0,1277.0,1.0,162000.0,2.0,8.0,5.0,85.0,5.0,151304.0
269,4.0,1313.0,3.0,98000.0,1.0,8.0,9.0,103.0,5.0,151300.0
618,7.0,1287.5,1.0,135000.0,2.0,11.0,5.0,109.0,4.0,72000.0
321,7.0,1304.0,1.0,130000.0,2.0,11.0,5.0,111.0,4.0,450046.0
311,7.0,1220.0,3.0,263000.0,2.0,11.0,9.0,90.0,2.0,151300.0
144,4.0,1196.0,3.0,65000.0,2.0,8.0,-1.0,108.0,4.0,72001.0
341,7.0,1266.5,3.0,110000.0,1.0,11.0,5.0,99.0,5.0,151300.0
145,5.0,1269.5,3.0,86000.0,2.0,15.0,9.0,89.0,5.0,60019.0
1043,4.0,1311.5,1.0,169000.0,2.0,8.0,-1.0,112.0,5.0,72000.0
497,7.0,1293.5,1.0,87000.0,2.0,11.0,5.0,113.0,3.0,450080.0
249,5.0,1259.0,3.0,94000.0,2.0,15.0,9.0,105.0,3.0,350063.0
701,5.0,1316.0,1.0,202000.0,2.0,15.0,5.0,105.0,5.0,450054.0
479,5.0,1287.5,1.0,126000.0,2.0,15.0,5.0,107.0,3.0,350071.0
663,5.0,1350.5,1.0,155000.0,2.0,15.0,8.0,104.0,5.0,60004.0
1041,4.0,1284.1808176100628,2.0,91000.0,2.0,8.0,-1.0,107.0,3.0,60018.0
570,7.0,1214.0,3.0,74000.0,2.0,11.0,5.0,110.0,4.0,60058.0
598,7.0,1443.5,3.0,162000.0,2.0,11.0,9.0,110.0,5.0,72014.0
430,7.0,1284.1808176100628,2.0,127000.0,2.0,11.0,-1.0,110.0,4.0,450063.0
733,7.0,1215.5,3.0,67000.0,2.0,11.0,5.0,95.0,3.0,151306.0
180,7.0,1289.0,1.0,107000.0,2.0,11.0,5.0,102.0,3.0,151300.0
655,4.0,1284.1808176100628,2.0,120000.0,2.0,8.0,5.0,105.0,3.0,60050.0
