,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10
815,7.0,1287.5,3.0,144000.0,2.0,11.0,5.0,114.0,4.0,72000.0
716,4.0,1284.1808176100628,2.0,75000.0,2.0,8.0,-1.0,107.0,3.0,151300.0
813,7.0,1250.0,3.0,60000.0,2.0,11.0,5.0,114.0,4.0,72001.0
195,5.0,1322.0,3.0,195000.0,2.0,15.0,5.0,90.0,3.0,60033.0
476,4.0,1376.0,3.0,77000.0,2.0,8.0,9.0,113.0,5.0,151300.0
183,7.0,1284.1808176100628,2.0,53000.0,2.0,11.0,5.0,105.0,4.0,151307.0
119,5.0,1308.5,3.0,30000.0,2.0,15.0,5.0,100.79963235294117,5.0,60062.0
1085,5.0,1352.0,3.0,88000.0,2.0,15.0,9.0,101.0,5.0,350091.0
19,7.0,1284.1808176100628,2.0,77000.0,2.0,11.0,9.0,114.0,5.0,510000.0
649,7.0,1371.5,3.0,121000.0,2.0,11.0,9.0,85.0,3.0,60004.0
304,5.0,1284.1808176100628,2.0,48000.0,2.0,15.0,5.0,107.0,4.0,450008.0
378,7.0,1278.5,3.0,131000.0,2.0,11.0,5.0,110.0,3.0,60001.0
980,4.0,1241.0,3.0,30000.0,2.0,8.0,9.0,114.0,3.0,151300.0
1093,4.0,1370.0,1.0,273000.0,2.0,8.0,9.0,110.0,5.0,60015.0
190,4.0,1287.5,3.0,110000.0,2.0,8.0,9.0,80.0,5.0,151300.0
376,7.0,1314.5,1.0,97000.0,2.0,11.0,9.0,90.0,3.0,60005.0
866,7.0,1296.5,3.0,80000.0,2.0,11.0,5.0,112.0,3.0,60069.0
977,7.0,1353.5,1.0,173000.0,2.0,11.0,5.0,65.0,5.0,350018.0
739,5.0,1353.5,3.0,143000.0,2.0,15.0,5.0,110.0,4.0,60007.0
872,7.0,1278.5,3.0,71000.0,2.0,11.0,1.0,111.0,3.0,60019.0
829,7.0,1292.0,3.0,163000.0,2.0,11.0,5.0,109.0,5.0,60016.0
715,4.0,1226.0,3.0,73000.0,1.0,8.0,5.0,104.0,5.0,60058.0
214,4.0,1238.0,3.0,125000.0,2.0,8.0,9.0,85.0,5.0,60002.0
155,5.0,1284.1808176100628,2.0,30000.0,2.0,15.0,5.0,104.0,3.0,72002.0
160,7.0,1316.0,1.0,117000.0,2.0,11.0,-1.0,110.0,5.0,361013.0
138,5.0,1304.0,3.0,390000.0,2.0,15.0,5.0,91.0,5.0,60050.0
732,5.0,1371.5,3.0,83000.0,2.0,15.0,5.0,95.0,3.0,350704.0
878,4.0,1317.5,1.0,183000.0,2.0,8.0,5.0,90.0,5.0,60019.0
849,4.0,1308.5,3.0,312000.0,2.0,8.0,8.0,89.0,5.0,60014.0
366,7.0,1301.0,1.0,77000.0,2.0,11.0,5.0,95.0,3.0,450000.0
99,7.0,1283.0,3.0,90000.0,2.0,11.0,5.0,85.0,5.0,60000.0
49,4.0,1287.5,1.0,139000.0,2.0,8.0,5.0,100.0,3.0,60030.0
811,7.0,1323.5,1.0,117000.0,2.0,11.0,9.0,112.0,4.0,550001.0
243,2.0,1349.0,1.0,286000.0,2.0,3.0,-1.0,80.0,3.0,361003.0
945,7.0,1305.5,3.0,84000.0,2.0,11.0,5.0,112.0,4.0,151306.0
184,7.0,1188.5,3.0,90000.0,2.0,11.0,5.0,98.0,5.0,60017.0
263,4.0,1425.5,3.0,146000.0,2.0,8.0,5.0,113.0,5.0,60062.0
1079,4.0,1293.5,3.0,35000.0,2.0,8.0,5.0,105.0,5.0,350071.0
91,7.0,1284.1808176100628,3.0,108000.0,1.0,11.0,-1.0,111.0,4.0,450006.0
384,4.0,1266.5,1.0,104000.0,2.0,8.0,-1.0,92.0,5.0,60036.0
593,7.0,1350.5,3.0,130000.0,1.0,11.0,5.0,97.0,5.0,60016.0
399,5.0,1211.0,3.0,97000.0,2.0,15.0,5.0,86.0,5.0,151300.0
343,5.0,1269.5,1.0,180000.0,1.0,15.0,5.0,90.0,3.0,151009.0
841,4.0,1284.1808176100628,2.0,71000.0,2.0,8.0,9.0,90.0,5.0,72015.0
1073,7.0,1248.5,3.0,76000.0,2.0,11.0,5.0,95.0,3.0,72000.0
588,4.0,1241.0,1.0,115000.0,2.0,8.0,5.0,105.0,3.0,151300.0
777,5.0,1286.0,3.0,92000.0,1.0,15.0,5.0,81.0,3.0,60018.0
825,4.0,1389.5,1.0,186000.0,2.0,8.0,9.0,110.0,3.0,60014.0
357,5.0,1305.5,3.0,72000.0,2.0,15.0,5.0,100.0,5.0,151300.0
425,5.0,1302.5,3.0,211000.0,2.0,15.0,5.0,87.0,3.0,72000.0
992,7.0,1350.5,1.0,235000.0,2.0,11.0,5.0,113.0,3.0,350704.0
490,7.0,1253.0,3.0,72000.0,2.0,11.0,9.0,112.0,3.0,330008.0
738,4.0,1332.5,3.0,153000.0,2.0,8.0,5.0,112.0,4.0,72001.0
885,4.0,1308.5,1.0,123000.0,2.0,8.0,5.0,84.0,3.0,151300.0
608,4.0,1256.0,1.0,129000.0,2.0,8.0,9.0,110.0,5.0,60042.0
657,7.0,1268.0,3.0,111000.0,2.0,11.0,5.0,100.0,3.0,151010.0
648,4.0,1379.0,3.0,489000.0,2.0,8.0,9.0,99.0,5.0,72001.0
70,4.0,1239.5,3.0,68000.0,2.0,8.0,5.0,84.0,5.0,60052.0
333,7.0,1299.5,1.0,135000.0,2.0,11.0,5.0,87.0,3.0,350705.0
84,4.0,1305.5,3.0,59000.0,2.0,8.0,5.0,113.0,4.0,72004.0
902,4.0,1214.0,3.0,50000.0,2.0,8.0,5.0,114.0,4.0,60043.0
176,4.0,1298.0,3.0,101000.0,2.0,8.0,9.0,105.0,3.0,60052.0
259,7.0,1334.0,3.0,86000.0,2.0,11.0,5.0,113.0,5.0,510065.0
115,4.0,1338.5,1.0,112000.0,2.0,8.0,5.0,90.0,3.0,330008.0
516,4.0,1284.1808176100628,2.0,38000.0,2.0,8.0,9.0,109.0,4.0,60028.0
291,5.0,1223.0,3.0,50000.0,2.0,15.0,5.0,89.0,3.0,151300.0
937,4.0,1278.5,1.0,103000.0,2.0,8.0,5.0,90.0,5.0,60074.0
441,4.0,1284.1808176100628,2.0,46000.0,2.0,8.0,5.0,114.0,4.0,60000.0
423,7.0,1245.5,3.0,110000.0,2.0,11.0,5.0,100.0,4.0,71000.0
334,4.0,1214.0,3.0,56000.0,2.0,8.0,5.0,109.0,3.0,151300.0
408,7.0,1272.5,3.0,138000.0,2.0,11.0,5.0,71.0,3.0,60023.0
614,7.0,1310.0,1.0,140000.0,2.0,11.0,5.0,90.0,5.0,60002.0
762,5.0,1284.1808176100628,2.0,58000.0,2.0,15.0,2.0,112.0,4.0,151300.0
1005,5.0,1278.5,3.0,35000.0,2.0,15.0,5.0,80.0,5.0,60005.0
523,4.0,1313.0,3.0,338000.0,2.0,8.0,5.0,90.0,5.0,60004.0
867,4.0,1308.5,3.0,144000.0,2.0,8.0,5.0,107.0,5.0,60016.0
651,7.0,1271.0,3.0,85000.0,1.0,11.0,9.0,100.0,4.0,60052.0
173,7.0,1272.5,3.0,80000.0,2.0,11.0,9.0,86.0,4.0,60043.0
1049,5.0,1316.0,3.0,147000.0,2.0,15.0,9.0,105.0,5.0,361029.0
32,5.0,1338.5,3.0,30000.0,2.0,15.0,5.0,110.0,4.0,71000.0
910,7.0,1299.5,3.0,500000.0,2.0,11.0,5.0,112.0,4.0,72000.0
261,4.0,1320.5,1.0,122000.0,2.0,8.0,5.0,103.0,5.0,60046.0
720,4.0,1263.5,1.0,102000.0,2.0,8.0,9.0,103.0,3.0,60024.0
520,5.0,1272.5,3.0,49000.0,2.0,15.0,-1.0,86.0,5.0,330004.0
845,4.0,1287.5,3.0,206000.0,2.0,8.0,9.0,102.0,3.0,72000.0
221,7.0,1332.5,3.0,98000.0,2.0,11.0,5.0,107.0,5.0,60033.0
535,7.0,1223.0,3.0,55000.0,2.0,11.0,5.0,89.0,5.0,60069.0
595,4.0,1271.0,3.0,120000.0,2.0,8.0,5.0,89.0,3.0,60001.0
111,4.0,1239.5,3.0,90000.0,2.0,8.0,5.0,100.0,3.0,60019.0
1064,7.0,1241.0,1.0,70000.0,2.0,11.0,-1.0,106.0,4.0,450032.0
57,7.0,1223.0,3.0,73000.0,2.0,11.0,9.0,111.0,4.0,350092.0
202,7.0,1262.0,3.0,151000.0,2.0,11.0,5.0,114.0,4.0,510102.0
467,5.0,1265.0,3.0,135000.0,2.0,15.0,5.0,100.0,5.0,151300.0
1061,5.0,1389.5,3.0,38000.0,2.0,15.0,5.0,109.0,5.0,450015.0
209,4.0,1253.0,1.0,468000.0,2.0,8.0,5.0,81.0,5.0,60016.0
1059,7.0,1233.5,3.0,56000.0,2.0,11.0,5.0,80.0,5.0,60052.0
994,7.0,1227.5,3.0,64000.0,2.0,11.0,5.0,76.0,3.0,60005.0
164,7.0,1329.5,1.0,150000.0,2.0,11.0,-1.0,86.0,5.0,60036.0
672,7.0,1305.5,1.0,50000.0,2.0,12.0,-1.0,113.0,3.0,350061.0
704,7.0,1284.1808176100628,2.0,97000.0,2.0,11.0,5.0,76.0,5.0,72000.0
216,4.0,1284.1808176100628,2.0,45000.0,2.0,8.0,5.0,85.0,4.0,151307.0
684,5.0,1257.5,3.0,91000.0,2.0,15.0,5.0,94.0,5.0,60043.0
87,4.0,1235.0,3.0,84000.0,2.0,8.0,5.0,82.0,5.0,60044.0
81,5.0,1230.5,3.0,58000.0,2.0,15.0,-1.0,92.0,3.0,340020.0
505,7.0,1284.1808176100628,2.0,118000.0,2.0,11.0,9.0,107.0,5.0,72000.0
751,7.0,1350.5,3.0,176000.0,2.0,11.0,9.0,102.0,3.0,151004.0
782,7.0,1322.0,3.0,68000.0,2.0,11.0,5.0,86.0,3.0,72015.0
297,7.0,1298.0,1.0,114000.0,2.0,11.0,5.0,103.0,3.0,60014.0
1081,7.0,1268.0,3.0,162000.0,2.0,11.0,5.0,113.0,4.0,450081.0
962,5.0,1284.1808176100628,2.0,116000.0,2.0,15.0,5.0,110.0,4.0,510037.0
889,7.0,1284.1808176100628,3.0,100000.0,2.0,11.0,-1.0,110.0,5.0,450002.0
862,4.0,1253.0,3.0,59000.0,2.0,8.0,-1.0,110.0,4.0,151300.0
783,7.0,1230.5,3.0,72000.0,2.0,11.0,5.0,85.0,5.0,60069.0
188,7.0,1284.1808176100628,2.0,179000.0,2.0,11.0,5.0,113.0,4.0,450002.0
72,5.0,1371.5,3.0,82000.0,2.0,15.0,5.0,115.0,5.0,151300.0
1063,4.0,1302.5,1.0,239000.0,1.0,8.0,5.0,100.0,3.0,60043.0
301,4.0,1320.5,1.0,123000.0,2.0,8.0,5.0,105.0,3.0,332444.0
1011,4.0,1322.0,3.0,146000.0,2.0,8.0,9.0,100.0,5.0,72000.0
658,7.0,1233.5,3.0,62000.0,2.0,11.0,3.0,88.0,3.0,450194.0
624,4.0,1257.5,3.0,113000.0,2.0,8.0,5.0,100.0,5.0,60014.0
1083,5.0,1316.0,3.0,15000.0,2.0,15.0,5.0,114.0,4.0,510036.0
404,5.0,1311.5,1.0,215000.0,2.0,15.0,5.0,110.0,3.0,350020.0
431,4.0,1214.0,3.0,51000.0,2.0,8.0,5.0,104.0,5.0,151300.0
634,7.0,1200.5,3.0,110000.0,2.0,11.0,5.0,113.0,4.0,60034.0
506,7.0,1305.5,1.0,87000.0,2.0,11.0,-1.0,114.0,4.0,72000.0
784,5.0,1284.1808176100628,2.0,160000.0,2.0,15.0,-1.0,85.0,5.0,450043.0
44,7.0,1302.5,1.0,92000.0,2.0,11.0,-1.0,105.0,4.0,60075.0
10,4.0,1250.0,3.0,95000.0,2.0,8.0,9.0,111.0,4.0,60047.0
1016,4.0,1166.0,3.0,176000.0,2.0,8.0,5.0,87.0,5.0,60094.0
599,7.0,1308.5,1.0,110000.0,2.0,11.0,5.0,108.0,4.0,60004.0
760,7.0,1277.0,3.0,132000.0,2.0,11.0,9.0,80.0,5.0,60016.0
640,7.0,1362.5,3.0,93000.0,2.0,11.0,5.0,115.0,4.0,151300.0
746,5.0,1362.5,1.0,114000.0,2.0,15.0,-1.0,112.0,4.0,361005.0
422,7.0,1230.5,3.0,57000.0,2.0,11.0,9.0,108.0,4.0,450015.0
1036,7.0,1257.5,3.0,107000.0,2.0,11.0,5.0,113.0,4.0,450071.0
407,4.0,1284.1808176100628,2.0,57000.0,2.0,8.0,5.0,107.0,5.0,151300.0
1002,7.0,1257.5,3.0,80000.0,2.0,11.0,5.0,103.0,5.0,60047.0
847,4.0,1364.0,3.0,194000.0,2.0,8.0,5.0,110.0,5.0,151004.0
450,4.0,1296.5,3.0,250000.0,2.0,8.0,5.0,105.0,3.0,60033.0
499,4.0,1266.5,3.0,207000.0,2.0,9.0,5.0,100.0,1.0,71002.0
569,4.0,1239.5,3.0,103000.0,2.0,8.0,5.0,103.0,5.0,60036.0
171,4.0,1268.0,1.0,104000.0,2.0,8.0,9.0,95.0,5.0,60027.0
993,5.0,1284.1808176100628,2.0,83000.0,2.0,15.0,5.0,111.0,3.0,151300.0
271,4.0,1284.1808176100628,2.0,48000.0,1.0,8.0,5.0,101.0,5.0,72000.0
879,4.0,1284.1808176100628,2.0,65000.0,2.0,8.0,9.0,112.0,5.0,72001.0
919,4.0,1287.5,3.0,107000.0,2.0,8.0,9.0,114.0,4.0,60043.0
76,7.0,1214.0,3.0,51000.0,2.0,11.0,9.0,111.0,5.0,72000.0
812,1.0,1293.5,1.0,500000.0,2.0,4.0,9.0,105.0,5.0,650005.0
400,4.0,1293.5,1.0,114000.0,2.0,8.0,5.0,111.0,4.0,72001.0
757,5.0,1241.0,3.0,42000.0,2.0,15.0,-1.0,107.0,5.0,60004.0
838,4.0,1346.0,1.0,102000.0,2.0,8.0,-1.0,100.0,5.0,60095.0
104,7.0,1314.5,3.0,150000.0,2.0,11.0,10.0,113.0,4.0,60023.0
1021,5.0,1250.0,3.0,50000.0,2.0,15.0,5.0,84.0,5.0,350702.0
797,5.0,1287.5,3.0,163000.0,2.0,15.0,5.0,90.0,5.0,72014.0
114,7.0,1350.5,1.0,110000.0,2.0,11.0,-1.0,108.0,5.0,71000.0
868,4.0,1284.1808176100628,2.0,111000.0,2.0,8.0,5.0,110.0,4.0,60091.0
718,4.0,1400.0,3.0,383000.0,1.0,8.0,5.0,100.0,5.0,60024.0
453,5.0,1215.5,3.0,100000.0,2.0,15.0,5.0,110.0,5.0,450015.0
536,7.0,1338.5,3.0,162000.0,2.0,11.0,5.0,108.0,5.0,151300.0
574,7.0,1340.0,1.0,296000.0,2.0,11.0,5.0,110.0,5.0,72000.0
442,4.0,1223.0,3.0,73000.0,2.0,8.0,9.0,105.0,3.0,151300.0
126,4.0,1308.5,1.0,35000.0,2.0,8.0,5.0,103.0,5.0,151300.0
906,5.0,1233.5,3.0,82000.0,2.0,15.0,5.0,88.0,3.0,60014.0
50,5.0,1241.0,3.0,60000.0,2.0,15.0,5.0,90.0,5.0,60000.0
20,4.0,1305.5,1.0,129000.0,2.0,8.0,5.0,81.0,5.0,60014.0
898,7.0,1319.0,3.0,149000.0,2.0,11.0,9.0,112.0,5.0,350096.0
575,5.0,1304.0,1.0,146000.0,2.0,15.0,5.0,90.0,3.0,350008.0
830,5.0,1305.5,3.0,129000.0,2.0,15.0,5.0,95.0,3.0,60061.0
541,4.0,1310.0,3.0,88000.0,2.0,8.0,5.0,100.0,5.0,60005.0
874,7.0,1329.5,3.0,114000.0,2.0,11.0,5.0,76.0,5.0,60040.0
754,4.0,1296.5,1.0,127000.0,2.0,8.0,5.0,107.0,3.0,60019.0
668,7.0,1248.5,3.0,60000.0,2.0,11.0,5.0,90.0,3.0,60074.0
560,4.0,1278.5,1.0,201000.0,2.0,8.0,5.0,102.0,5.0,72000.0
77,4.0,1305.5,3.0,91000.0,2.0,8.0,2.0,95.0,5.0,60091.0
1089,4.0,1403.0,1.0,184000.0,2.0,8.0,-1.0,80.0,5.0,340017.0
836,4.0,1250.0,1.0,87000.0,2.0,8.0,5.0,105.0,5.0,60069.0
971,5.0,1278.5,3.0,143000.0,2.0,15.0,5.0,111.0,5.0,60017.0
1087,7.0,1230.5,3.0,69000.0,1.0,11.0,9.0,72.0,5.0,151300.0
741,7.0,1284.1808176100628,2.0,120000.0,2.0,11.0,5.0,101.0,5.0,72000.0
308,7.0,1262.0,3.0,121000.0,2.0,11.0,5.0,106.0,5.0,151300.0
6,5.0,1256.0,3.0,78000.0,2.0,15.0,-1.0,111.0,3.0,60030.0
153,5.0,1310.0,3.0,325000.0,2.0,15.0,5.0,83.0,3.0,71000.0
632,7.0,1325.0,1.0,195000.0,2.0,11.0,5.0,109.0,5.0,350703.0
579,7.0,1340.0,1.0,80000.0,2.0,11.0,5.0,110.0,4.0,71002.0
563,4.0,1223.0,3.0,50000.0,2.0,8.0,5.0,110.0,4.0,72000.0
519,7.0,1214.0,3.0,81000.0,2.0,11.0,9.0,114.0,4.0,450012.0
336,7.0,1298.0,1.0,128000.0,2.0,11.0,5.0,92.0,5.0,151300.0
300,7.0,1325.0,1.0,50000.0,2.0,12.0,-1.0,105.0,5.0,350012.0
740,7.0,1377.5,3.0,500000.0,2.0,11.0,2.0,89.0,5.0,350052.0
483,7.0,1263.5,3.0,120000.0,2.0,11.0,9.0,86.0,5.0,151300.0
151,4.0,1317.5,3.0,293000.0,2.0,8.0,5.0,100.0,5.0,60018.0
358,5.0,1388.0,3.0,75000.0,2.0,15.0,5.0,113.0,5.0,450027.0
338,5.0,1241.0,3.0,51000.0,2.0,15.0,5.0,88.0,5.0,151300.0
537,7.0,1272.5,3.0,119000.0,2.0,11.0,5.0,82.0,5.0,60068.0
48,4.0,1280.0,3.0,96000.0,2.0,8.0,9.0,112.0,4.0,60062.0
405,7.0,1197.5,3.0,63000.0,2.0,11.0,-1.0,93.0,5.0,72000.0
235,7.0,1236.5,1.0,150000.0,2.0,11.0,9.0,110.0,4.0,450000.0
279,4.0,1353.5,3.0,125000.0,2.0,8.0,9.0,107.0,5.0,60093.0
1006,5.0,1275.5,3.0,112000.0,2.0,15.0,5.0,85.0,5.0,340022.0
622,7.0,1302.5,1.0,110000.0,2.0,11.0,5.0,108.0,4.0,151002.0
983,4.0,1356.5,3.0,143000.0,2.0,8.0,5.0,107.0,5.0,60054.0
764,4.0,1214.0,3.0,62000.0,2.0,8.0,9.0,114.0,4.0,151300.0
681,5.0,1272.5,3.0,120000.0,1.0,15.0,5.0,110.0,5.0,72000.0
763,7.0,1317.5,3.0,264000.0,2.0,11.0,5.0,83.0,5.0,72000.0
85,5.0,1223.0,3.0,90000.0,2.0,15.0,5.0,101.0,3.0,450091.0
500,5.0,1286.0,1.0,99000.0,2.0,15.0,-1.0,87.0,5.0,60000.0
699,7.0,1305.5,3.0,111000.0,2.0,11.0,9.0,113.0,4.0,72015.0
61,7.0,1241.0,3.0,55000.0,2.0,11.0,9.0,113.0,4.0,151300.0
268,7.0,1263.5,3.0,35000.0,2.0,12.0,-1.0,115.0,4.0,350012.0
345,4.0,1304.0,3.0,35000.0,2.0,8.0,9.0,90.0,5.0,60047.0
346,7.0,1304.0,3.0,290000.0,2.0,11.0,5.0,111.0,4.0,60000.0
713,7.0,1238.0,3.0,66000.0,2.0,11.0,5.0,79.0,3.0,450017.0
167,7.0,1340.0,3.0,341000.0,2.0,11.0,5.0,112.0,5.0,72001.0
546,5.0,1284.1808176100628,2.0,72000.0,2.0,15.0,5.0,114.0,5.0,350050.0
185,4.0,1290.5,1.0,118000.0,1.0,8.0,5.0,100.0,5.0,60023.0
565,5.0,1299.5,3.0,30000.0,2.0,15.0,5.0,100.0,5.0,350059.0
1046,7.0,1328.0,3.0,163000.0,2.0,11.0,9.0,79.0,5.0,60062.0
916,4.0,1277.0,3.0,91000.0,2.0,8.0,5.0,114.0,4.0,72000.0
197,4.0,1179.5,3.0,56000.0,2.0,8.0,5.0,99.0,3.0,72000.0
382,7.0,1284.1808176100628,2.0,370000.0,2.0,11.0,-1.0,85.0,3.0,350096.0
823,7.0,1278.5,1.0,88000.0,2.0,11.0,-1.0,89.0,5.0,60001.0
90,7.0,1284.1808176100628,2.0,64000.0,2.0,11.0,5.0,113.0,4.0,151009.0
689,7.0,1386.5,1.0,165000.0,2.0,11.0,-1.0,100.0,3.0,350098.0
929,5.0,1274.0,3.0,76000.0,2.0,15.0,5.0,89.0,5.0,60000.0
123,4.0,1241.0,3.0,60000.0,2.0,8.0,5.0,115.0,5.0,60036.0
894,4.0,1220.0,3.0,140000.0,2.0,8.0,5.0,109.0,4.0,72010.0
1106,5.0,1284.1808176100628,3.0,250000.0,2.0,15.0,-1.0,111.0,5.0,450031.0
759,4.0,1250.0,3.0,120000.0,2.0,8.0,5.0,91.0,5.0,60064.0
131,5.0,1284.1808176100628,2.0,82000.0,2.0,15.0,5.0,106.0,5.0,60058.0
192,5.0,1367.0,3.0,167000.0,2.0,15.0,5.0,95.0,5.0,60021.0
178,7.0,1214.0,3.0,58000.0,2.0,11.0,5.0,112.0,4.0,71006.0
727,7.0,1284.1808176100628,2.0,128000.0,2.0,11.0,9.0,111.0,4.0,151300.0
502,5.0,1284.1808176100628,2.0,45000.0,2.0,15.0,9.0,113.0,4.0,72000.0
394,7.0,1283.0,3.0,146000.0,2.0,11.0,5.0,110.0,4.0,151300.0
2,7.0,1335.5,1.0,151000.0,2.0,11.0,5.0,110.0,3.0,60084.0
503,5.0,1191.5,3.0,53000.0,2.0,15.0,5.0,114.0,4.0,72000.0
951,4.0,1266.5,1.0,120000.0,1.0,8.0,5.0,109.0,4.0,60023.0
